transactionAmount,paymentType,transactionVelocity,ipRisk,deviceRisk,geoDistance,impossibleTravel,hourOfDay,repeatedFailures,newDeviceFlag,fraudLabel
1110.99,1,1,10.46,4.51,53.58,0,13,5,0,0
5077.81,0,1,75.97,1.49,91.29,0,6,0,0,0
1706.96,1,0,4.0,5.94,44.28,0,2,0,0,0
602.41,1,1,11.25,2.7,49.04,0,20,0,0,0
2350.84,0,0,15.76,1.38,93.11,0,21,0,0,0
11786.82,1,12,22.32,2.59,2805.65,1,11,0,0,1
4967.85,1,0,42.39,8.94,705.16,0,15,1,0,1
23571.87,1,1,2.3,66.43,571.5,0,4,5,0,1
3741.46,0,2,34.7,5.92,163.1,0,7,1,0,0
36235.8,0,0,54.62,9.14,71.25,0,6,0,1,1
3742.55,0,0,3.0,16.59,3790.63,1,9,6,0,1
3205.04,1,1,33.11,3.17,27.62,0,3,0,0,0
871.84,1,0,20.98,26.39,73.5,0,5,0,0,0
9514.41,1,2,12.23,23.21,39.86,0,15,0,0,0
1896.71,0,1,37.79,2.79,13.58,0,5,1,0,0
80718.19,0,1,1.25,6.09,235.94,0,23,0,0,0
11285.01,0,5,29.77,13.16,407.71,0,14,1,0,1
9978.85,0,3,3.39,48.81,284.57,0,23,0,0,1
9721.07,1,0,13.8,13.72,42.41,0,22,0,0,0
2181.59,1,0,17.73,36.17,238.65,0,8,0,0,0
2978.05,1,4,12.39,71.23,40.34,0,22,0,0,0
2951.73,0,0,4.56,14.2,1.43,0,16,0,0,0
6853.52,1,1,9.28,4.5,3285.54,1,14,0,0,1
136486.83,1,0,19.66,29.31,148.32,0,21,0,1,1
4528.5,1,3,29.36,12.31,162.12,0,16,0,0,0
22581.61,0,1,5.1,17.67,105.57,0,11,1,0,0
7686.3,0,2,5.14,28.58,26.26,0,8,1,0,0
2477.98,0,3,54.63,22.77,115.04,0,3,1,1,1
7177.54,0,0,5.5,1.81,36.34,0,17,0,0,0
17256.43,1,2,6.06,6.53,124.92,0,22,0,0,0
99311.81,1,0,2.57,8.13,107.85,0,10,1,0,0
10269.07,1,0,27.59,30.6,98.2,0,8,2,0,0
3215.3,0,3,37.24,22.59,66.61,0,3,0,0,0
2523.26,0,0,11.35,16.02,80.42,0,6,0,1,0
5575.12,0,2,25.91,1.87,77.53,0,20,0,0,0
16713.54,0,1,78.8,16.29,113.74,1,3,0,1,1
4835.64,0,0,25.59,98.44,116.74,0,10,0,0,0
4937.09,0,1,86.16,66.29,4.42,0,22,0,0,0
96690.27,0,0,11.13,27.85,8.89,0,12,0,0,0
2257.72,1,1,71.57,22.04,78.81,0,17,0,0,1
2664.75,0,4,11.75,6.79,80.13,0,23,0,0,0
3588.27,1,1,3.2,9.7,158.28,0,6,0,0,0
17467.55,1,0,3.37,5.55,164.65,1,6,0,0,0
2465.84,0,1,64.4,18.42,50.09,0,18,0,1,0
3303.08,1,1,23.11,11.16,1.17,0,22,0,0,0
1318.99,1,1,18.16,22.04,235.8,0,19,0,1,0
6416.52,0,1,12.38,25.05,58.24,0,10,0,0,0
12291.7,0,2,20.44,23.64,79.23,0,23,0,0,1
15906.73,1,1,33.76,31.43,96.25,0,19,0,0,0
3840.53,0,4,65.28,56.52,63.21,0,5,1,0,0
5565.57,0,0,10.46,12.1,252.98,0,8,0,0,0
2687.72,0,1,21.26,0.49,22.94,0,9,0,0,0
5313.57,1,2,6.22,27.63,229.31,0,4,1,0,1
4289.67,1,0,34.33,71.33,82.7,0,1,0,0,1
3321.81,1,2,4.07,0.9,287.85,0,14,2,0,0
3596.63,1,1,2.52,27.53,72.01,0,7,0,0,0
4924.23,0,1,15.0,7.21,376.98,0,16,0,1,0
2335.19,0,1,13.77,4.49,209.78,0,5,0,0,0
2458.98,0,0,12.64,59.34,178.46,0,10,0,0,0
17280.98,0,3,18.96,2.09,206.12,0,6,0,0,0
47124.43,1,2,19.3,21.06,51.25,0,21,0,0,0
939.77,0,1,8.04,11.54,185.06,0,9,0,0,0
889.38,0,2,10.44,0.31,87.22,0,18,5,1,1
1203.33,1,0,6.26,8.56,393.39,0,16,0,1,0
2826.27,1,1,7.44,32.93,41.13,0,2,0,0,0
7675.44,0,4,86.62,22.0,57.68,0,14,0,0,0
5660.42,0,0,34.21,5.71,98.67,0,5,1,1,1
3722.05,0,1,33.84,4.59,24.17,0,10,0,0,0
5318.44,0,0,34.69,6.53,145.0,0,1,1,1,0
1568.56,0,0,3.61,23.92,17.09,1,9,4,1,0
2454.99,0,1,9.97,14.15,30.22,0,7,6,0,0
3071.45,0,2,4.86,9.74,120.41,0,5,0,0,0
642.77,1,1,5.55,46.91,267.8,0,17,0,0,0
981.12,0,0,9.29,17.89,20.22,0,2,0,0,1
77476.03,0,1,7.0,36.63,79.35,0,21,6,0,1
6728.5,0,2,25.46,29.57,33.53,0,14,0,0,0
4005.22,0,0,13.19,39.74,37.91,0,3,0,0,0
5773.66,1,2,13.64,19.35,25.34,0,20,0,0,1
497.87,0,1,52.81,13.53,1102.33,1,5,0,0,0
710.83,1,0,12.2,1.02,75.7,0,15,0,1,0
6082.77,1,0,82.65,9.9,186.62,0,20,0,0,0
194.67,0,0,18.72,1.09,7.46,0,21,0,0,1
10664.01,1,5,14.91,5.73,46.24,0,10,1,0,0
506.07,0,3,21.55,11.79,87.56,0,14,0,0,0
7283.34,0,0,4.74,2.03,1231.32,1,6,0,0,0
1288.73,0,1,10.72,74.43,60.33,0,7,2,0,0
8945.48,1,0,31.73,8.22,146.97,0,13,7,0,0
77509.9,0,2,50.19,25.91,213.67,0,22,1,1,1
322.73,0,1,1.66,5.6,171.05,0,15,0,0,0
6281.58,0,10,10.79,19.55,275.35,0,1,0,1,1
513.8,0,2,8.13,27.74,136.03,0,14,0,0,0
4801.91,1,0,1.42,18.64,41.93,0,19,0,0,0
2548.42,0,2,8.14,34.46,184.44,0,0,0,0,0
3568.08,0,2,5.79,21.14,142.72,0,15,0,1,0
73462.68,0,2,39.22,34.23,26.75,0,1,1,0,1
6839.99,1,1,8.62,16.06,519.69,0,17,0,0,0
736.3,0,2,35.66,7.43,222.36,0,14,0,1,0
10846.93,0,1,15.05,17.72,57.5,0,5,1,0,0
